Language, "Original"
STR_7b_pula_name,"12x76 (7 round), slug"
STR_7b_pula_desc,"Caliber: 12x76 mm<br />Quantity: 7 shells<br />Type: Slug<br />Use: MP-133"

STR_2b_drob_name,"12x70(2 round), Buckshot"
STR_2b_drob_desc,"Caliber: 12x70 mm<br />Quantity: 2 shells<br />Type: Buckshot<br />Use: Izh-43, Toz-34"
STR_2b_pula_name,"12x76(2 round), Slug"
STR_2b_pula_desc,"Caliber: 12x76 mm<br />Quantity: 2 shells<br />Type: Slug<br />Use: Izh-43, Toz-34"

STR_sks10mag_name,"7.62x39(10 round)"
STR_sks10mag_desc,"Caliber: 7.62x39mm<br />Quantity: 10 rounds<br />Type: Normal<br />Use: SKS"

STR_ks23_3b_barr_name,"Barrikada (3 round)"
STR_ks23_3b_barr_desc,"Caliber: 23x75 R mm<br />Quantity: 3 shells<br />Type: Slug<br />Use: KS-23"
STR_ks23_3b_kart_name,"Shrapnel-25 (3 round)"
STR_ks23_3b_barr_desc,"Caliber: 23x75 R mm<br />Quantity: 3 shells<br />Type: Buckshot<br />Use: KS-23"

STR_9x19_vit_name,"9x19 (30 round)"
STR_9x19_vit_desc,"Caliber: 9x19mm<br />Quantity: 30 rounds<br />Type: Normal<br />Use: PP-19-01 Vityaz"
STR_9x19_vit_trs_name,"9x19(30 round), Green Tracer"
STR_9x19_vit_trs_sname,"Tracer"
STR_9x19_vit_trs_desc,"Caliber: 9x19mm<br />Quantity: 30 rounds<br />Type: Tracer<br />Use: PP-19-01 Vityaz"

STR_9x19_90m1_name,"9x19(64 round)"
STR_9x19_90m1_desc,"Caliber: 9x19mm<br />Quantity: 64 rounds<br />Type: Normal<br />Use: PP90M1"

STR_vsk_20b_dz_desc,"Caliber: 9x39mm<br />Quantity: 20 rounds<br />Type: Subsonic<br />Use: 9a-91, VSK"
STR_vsk_20b_sz_desc,"Caliber: 9x39mm<br />Quantity: 20 rounds<br />Type: Supersonic<br />Use: 9a-91, VSK"

STR_9mm30b_kedr_name,"9x18(30 round)"
STR_9mm30b_kedr_desc,"Caliber: 9x18mm<br />Quantity: 30 rounds<br />Type: Normal<br />Use: PP-2000"
STR_9mm30b_kedr_trs_name,"9x18(30 round), Green Tracer"
STR_9mm30b_kedr_trs_desc,"Caliber: 9x18mm<br />Quantity: 30 rounds<br />Type: Tracer<br />Use: PP-2000"

